Genetic ID,Master ID,Skeletal code,Skeletal element,"Year data from this individual was first published [for a present-day individuals we give the data of the data reported here; missing GreenScience 2010 (Vi33.15, Vi33.26), Olalde2018 (I2657), RasmussenNature2010 (Australian)]",Publication,"Method for Determining Date; unless otherwise specified, calibrations use 95.4% intervals from OxCal v4.4.2 Bronk Ramsey (2009); r5; Atmospheric data from Reimer et al (2020)","Date mean in BP in years before 1950 CE [OxCal mu for a direct radiocarbon date, and average of range for a contextual date]","Date standard deviation in BP [OxCal sigma for a direct radiocarbon date, and standard deviation of the uniform distribution between the two bounds for a contextual date]","Full Date One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 2624-2350 calBCE (3990±40 BP, Ua-35016). (Format 2) Archaeological context range, e.g. 2500-1700 BCE",Age at Death from physical anthropology,Group ID,Locality,Political Entity,Lat.,Long.,Pulldown Strategy,Data source,No. Libraries,1240k coverage (taken from original pulldown where possible),SNPs hit on autosomal targets (Computed using easystats on 1240k snpset),SNPs hit on autosomal targets (Computed using easystats on HO snpset),Molecular Sex,Family ID and position within family,Y haplogroup (manual curation in terminal mutation format),Y haplogroup (manual curation in ISOGG format),mtDNA coverage (merged data),mtDNA haplogroup if >2x or published,mtDNA match to consensus if >2x (merged data),Damage rate in first nucleotide on sequences overlapping 1240k targets (merged data),Sex ratio [Y/(Y+X) counts] (merged data),"Library type (minus=no.damage.correction, half=damage.retained.at.last.position, plus=damage.fully.corrected, ds=double.stranded.library.preparation, ss=single.stranded.library.preparation)",Libraries,ASSESSMENT,"ASSESSMENT WARNINGS (Xcontam interval is listed if lower bound is >0.005, ""QUESTIONABLE"" if lower bound is 0.01-0.02, ""QUESTIONABLE_CRITICAL"" or ""FAIL"" if lower bound is >0.02) (mtcontam confidence interval is listed if coverage >2 and upper bound is <0."
I21310,I21310,GENLAB 49 (4346; W4896),petrous,2021,PattersonNature2021,Direct: IntCal20,2115,119,"386 calBCE - 58 calCE (2127±85 BP, NZA-13632)",..,England_MIA_LIA,"England, Wiltshire, Battlesbury Bowl",United Kingdom,51.217744,-2.136648,Repulldown on 3.2M snpset,1240K,1,6.494,807211,447072,F,n/a (no relatives detected),n/a (female),n/a (female),205.3,U4c1,"[0.978,0.992]",0.097,0.014,ds.half,S21310.Y1.E1.L1,PASS,..
I21311,I21311,GENLAB 50 (4251; W4896),petrous,2021,PattersonNature2021,Direct: IntCal20,2078,58,"336-49 calBCE (2112±27 BP, SUERC-97432)",..,England_MIA_LIA,"England, Wiltshire, Battlesbury Bowl",United Kingdom,51.217744,-2.136648,Repulldown on 3.2M snpset,1240K,1,6.209,808244,447164,F,n/a (no relatives detected),n/a (female),n/a (female),225.3,H16+152,"[0.976,0.993]",0.108,0.017,ds.half,S21311.Y1.E1.L1,PASS,..
I21312,I21312,GENLAB 53 (C.30),petrous,2021,PattersonNature2021,Direct: IntCal20,2096,68,"343-51 calBCE (2124±27 BP, SUERC-97418)",..,England_MIA_LIA,"England, Wiltshire, Casterley Camp",United Kingdom,51.28086,-1.835571,Repulldown on 3.2M snpset,1240K,1,2.512,772427,426309,M,n/a (no relatives detected),R-DF13,R1b1a1b1a1a2c1,109,J1b1a1,"[0.949,0.975]",0.156,0.422,ds.half,S21312.Y1.E1.L1,PASS,"mtcontam=[0.949,0.975]"
I21313,I21313,GENLAB 54 (C.29),petrous,2021,PattersonNature2021,Direct: IntCal20,2165,83,"354-57 calBCE (2154±27 BP, SUERC-97419)",..,England_MIA_LIA,"England, Wiltshire, Casterley Camp",United Kingdom,51.28086,-1.835571,Repulldown on 3.2M snpset,1240K,1,6.57,798826,442708,M,"United Kingdom, England, Wiltshire, Casterley Camp Family A (2 Members) (I21313, I21314 have a 2d relationship)",R-P312,R1b1a1b1a1a2,161.5,H3g,"[0.980,0.997]",0.092,0.446,ds.half,S21313.Y1.E1.L1,PASS,..
I21314,I21314,GENLAB 55 (C.31),petrous,2021,PattersonNature2021,Direct: IntCal20,2095,67,"342-51 calBCE (2123±27 BP, SUERC-97420)",..,England_MIA_LIA,"England, Wiltshire, Casterley Camp",United Kingdom,51.28086,-1.835571,Repulldown on 3.2M snpset,1240K,1,5.653,802473,444373,F,"United Kingdom, England, Wiltshire, Casterley Camp Family A (2 Members) (I21313, I21314 have a 2d relationship)",n/a (female),n/a (female),179.6,V23,"[0.984,0.999]",0.1,0.015,ds.half,S21314.Y1.E1.L1,PASS,..
I19655,I19655,"GENLAB 68 (con. 5867, cat. 1060, F.1531)",petrous,2021,PattersonNature2021,Context: Archaeological - Period,2200,87,400-100 BCE,..,England_MIA_LIA_alt,"England, Somerset, Ham Hill",United Kingdom,50.949985,-2.735842,Repulldown on 3.2M snpset,1240K,1,0.104,109483,56097,F,n/a (no relatives detected),n/a (female),n/a (female),5.897,H1c3a,"[0.808,0.939]",0.184,0.014,ss.half,S19655.Y1.E1.L1,PASS,"mtcontam=[0.808,0.939]"
I19037,I19037,GENLAB 314 (WD78 174),tooth (molar),2021,PattersonNature2021,Context: Archaeological - Period,2200,87,400-100 BCE,adolescent,England_MIA_LIA_highEEF,"England, Hampshire, Winnall Down",United Kingdom,51.07,-1.29,Repulldown on 3.2M snpset,1240K,1,0.042,45468,23244,F,n/a (no relatives detected),n/a (female),n/a (female),20.43,J1b1a1b,"[0.961,0.990]",0.086,0.01,ss.half,S19037.Y1.E1.L1,PASS,damage.ss.half=0.086
I13681,I13681,"GENLAB 8 (a22 SID7, Skeleton 21)",tooth (molar),2021,PattersonNature2021,Context: Archaeological - Period,2175,101,400-50 BCE,..,England_MIA_LIA_lc,"England, Somerset, Worlebury",United Kingdom,51.357334,-2.988282,Repulldown on 3.2M snpset,1240K,1,0.005051,5984,3232,M,n/a (no relatives detected),..,..,6.596,H3b+16129,"[0.900,0.985]",0.084,0.41,ds.half,S13681.E1.L1,PASS,..
I16387,I16387,TB 200; 1991.78a.3 (Sk 2200),petrous,2021,PattersonNature2021,Context: Archaeological - Period,2050,116,300 BCE - 100 CE,..,England_MIA_LIA_lc,"England, Cornwall, Newquay, Trethellan Farm",United Kingdom,50.203523,-5.199698,Repulldown on 3.2M snpset,1240K,1,0.004138,4727,2415,M,n/a (no relatives detected),R-P312,R1b1a1b1a1a2,0.9399,n/a (<2x),n/a (<2x),0.133,0.335714286,ss.half,S16387.Y1.E1.L1,QUESTIONABLE,"2500.to.5000.SNPs, sexratio=0.336"
I16390,I16390,TB 204; 1991.789.7 (Skeleton 3100),petrous,2021,PattersonNature2021,Context: Archaeological - Period,2050,116,300 BCE - 100 CE,..,England_MIA_LIA_lc,"England, Cornwall, Newquay, Trethellan Farm",United Kingdom,50.203523,-5.199698,Repulldown on 3.2M snpset,1240K,1,0.012834,14317,7553,F,n/a (no relatives detected),n/a (female),n/a (female),1.518,n/a (<2x),n/a (<2x),0.133,0.023140496,ss.half,S16390.Y1.E1.L1,PASS,..
I16456_d,I16456,TB 197; Sk 2128 (1991.789.8),petrous,2021,PattersonNature2021,Context: Archaeological - Period,2050,116,300 BCE - 100 CE,..,England_MIA_LIA_lc,"England, Cornwall, Newquay, Trethellan Farm",United Kingdom,50.203523,-5.199698,Repulldown on 3.2M snpset,1240K,1,0.002052,2405,1237,U,n/a (no relatives detected),n/a (female),n/a (female),0.538657,n/a (<2x),n/a (<2x),0.807,0,ds.half,S16456.Y1.E1.L1,QUESTIONABLE_CRITICAL,<2500.SNPs
I16596,I16596,"GENLAB 7 (Box 482, Archtemp 51)",maxilla (tooth),2021,PattersonNature2021,Context: Archaeological - Period,2175,101,400-50 BCE,..,England_MIA_LIA_lc,"England, Somerset, Worlebury",United Kingdom,51.357334,-2.988282,Repulldown on 3.2M snpset,1240K,1,0.005079,5806,3164,M,n/a (no relatives detected),..,..,5.942,H3b+16129,"[0.901,0.982]",0.072,0.472826087,ds.half,S16596.Y1.E1.L1,PASS,..
I19655_d,I19655,"GENLAB 68 (con. 5867, cat. 1060, F.1531)",petrous,2021,PattersonNature2021,Context: Archaeological - Period,2200,87,400-100 BCE,..,England_MIA_LIA_lc,"England, Somerset, Ham Hill",United Kingdom,50.949985,-2.735842,Repulldown on 3.2M snpset,1240K,1,0.012594,14658,7442,F,n/a (no relatives detected),n/a (female),n/a (female),5.896675,H1c3a,..,..,0.019313305,ss.half,S19655.Y1.E1.L1,PASS,..
I12792,I12792,"TB 120, Sk 2771",petrous,2021,PattersonNature2021,Context: Archaeological - Period,2200,87,400-100 BCE,..,England_MIA_LIA_mother.I12793,"England, Cornwall, Newquay, Tregunnel",United Kingdom,50.409374,-5.088903,Repulldown on 3.2M snpset,1240K,1,1.228456,667022,365829,F,"United Kingdom, England, Cornwall, Newquay, Tregunnel Family A (3 members) (I12792 and I12793 are mother and son and both are 2nd or 3rd degree relatives to I12790)",n/a (female),n/a (female),247,H2a1,"[0.985,0.999]",0.138,0.009,ds.half,S12792.Y1.E1.L1,PASS,..
I20632,I20632,CE064 | CE065,bone (long bone),2021,PattersonNature2021,"Context: Date(s) from same site (I20625, I20626, I20628, I20622, I20624, I20627, I20620)",2175,101,400-50 BCE,..,England_MIA_LIA_o,"England, Derbyshire, Fin Cop",United Kingdom,53.235833,-1.736944,Repulldown on 3.2M snpset,1240K,2,0.591,456182,244626,M,"United Kingdom, Derbyshire, Monsal Dale, Fin Cop Hillfort Family B (2 members) (I20631-I20632 are 2nd or 3rd degree relatives)",R-L151,R1b1a1b1a1a,119.029754,V2b,"[0.984,0.997]",0.155,0.405317232,"ss.half,ss.half","S20632.E1.L1,S20633.E1.L1",QUESTIONABLE,"Xcontam=[0.010184, 0.038016]"
I12779,I12779,"TB 107, CPC98-018b",petrous,2021,PattersonNature2021,Direct: IntCal20,2225,50,"370-197 calBCE (2210±20 BP, PSUAMS-8290)",neonate,England_MIA_lowEEF,"England, Derbyshire, Brassington, Carsington Pasture Cave",United Kingdom,53.079803,-1.640942,Repulldown on 3.2M snpset,1240K,1,4.025661,877299,479376,F,n/a (no relatives detected),n/a (female),n/a (female),909,T2b4c,"[0.992,0.999]",0.049,0.007,ds.half,S12779.Y1.E1.L1,PASS,damage.ds.half=0.049
I14378,I14378,56950; 3563; GENLAB 254,petrous,2021,PattersonNature2021,Direct: IntCal20,2264,63,"400-208 calBCE (2275±30 BP, GrA-37911)","adult , 40-45",England_MIA_lowEEF,"England, Kent, Cliffs End Farm",United Kingdom,51.329195,1.3693088,Repulldown on 3.2M snpset,1240K,1,3.226086,786899,433532,F,n/a (no relatives detected),n/a (female),n/a (female),271.1,I2,"[0.989,0.999]",0.148,0.01,ds.half,S14378.Y1.E1.L1,PASS,..
I14326,I14326,ECP09 SK4040,petrous,2021,PattersonNature2021,Direct: IntCal20,4908,44,"3074-2892 calBCE (4336±32 BP, SUERC-52011)",..,England_N,"England, East Riding of Yorkshire, Thornholme, East Coast Pipeline (field 13)",United Kingdom,54.11173333,-0.284113889,Repulldown on 3.2M snpset,1240K,1,3.673364,796806,438786,F,n/a (no relatives detected),n/a (female),n/a (female),445.3,H1c,"[0.988,0.999]",0.125,0.008,ds.half,S14326.Y1.E1.L1,PASS,..
I16463,I16463,TB 224; Individual 1,petrous,2021,PattersonNature2021,Context: Archaeological - Period,5700,144,4000-3500 BCE,..,England_N,"England, North Yorkshire, Cockerham, Elbolton Cave",United Kingdom,54.050362,-1.989273,Repulldown on 3.2M snpset,1240K,1,0.67086,487724,266061,M,n/a (no relatives detected),I-L1195,I2a1b1a1a1,219.6,H4a1a2,"[0.990,0.999]",0.105,0.44,ds.half,S16463.Y1.E1.L1,PASS,..
I3005,I3005,SB 338B2,petrous,2019,BraceDiekmannNatureEcologyEvolution2019,Direct: IntCal20,5657,45,"3781-3643 calBCE (4934±35 BP, OxA-34336)",..,England_N,"England, Somerset, Burrington Combe, Aveline's Hole",United Kingdom,51.324706,-2.753248,Repulldown on 3.2M snpset,1240K,1,2.167,650837,356799,F,n/a (no relatives detected),n/a (female),n/a (female),571,K1a4a1,"[0.954,0.968]",0.078,0.015,ds.half,S3005.L1,PASS,"batch.flag, mtcontam=[0.954,0.968]"
I3040,I3040,SB 495A2,petrous,2019,BraceDiekmannNatureEcologyEvolution2019,Context: Archaeological - Period,5525,43,3650-3500 BCE,..,England_N,"England, Sussex, Brighton, Whitehawk",United Kingdom,50.828981,-0.112825,Repulldown on 3.2M snpset,1240K,1,0.161,172109,93337,M,n/a (no relatives detected),I-Y3259,I2a1b1,41.5,U8b,"[0.911,0.933]",0.023,0.429,ds.plus,S3040.L1,QUESTIONABLE,"mtcontam=[0.911,0.933]"
I4949_enhanced,I4949,DZSWS:C.11a,tooth,2018,PattersonNature2021 (higher coverage of previously published individual in OlaldeNature2018),Direct: IntCal20,5417,74,"3624-3376 calBCE (4715±20 BP, PSUAMS-2513)",..,England_N,"England, Wiltshire, Winterbourne Monkton, North Millbarrow",United Kingdom,51.5243,-2.501,Repulldown on 3.2M snpset,1240K,2,0.082071,91338,48158,M,n/a (no relatives detected),I-L1195,I2a1b1a1a1,..,T2b,..,..,0.377,"ds.half,ds.half","S4949.E1.L1,S4949.E1.L2",PASS,..
I5387,I5387,SB 543A3,petrous,2019,BraceDiekmannNatureEcologyEvolution2019,Context: Archaeological - Period,4850,231,3300-2500 BCE,..,England_N,"England, Wiltshire, Avebury, West Kennet",United Kingdom,51.243083,-1.51039,Repulldown on 3.2M snpset,1240K,1,0.362,316107,170880,M,n/a (no relatives detected),I-L1195,I2a1b1a1a1,104.157764,U5a2d,"[0.907,0.939]",0.048,..,ds.half,S5387.L1,QUESTIONABLE,"damage.ds.half=0.048, mtcontam=[0.907,0.939]"
I6746,I6746,SB 350C3,..,2019,BraceDiekmannNatureEcologyEvolution2019,Direct: IntCal20,5526,54,"3697-3384 calBCE (4809±45 BP, UBA-30800)",..,England_N,"England, Somerset, Burrington Combe, Aveline's Hole",United Kingdom,51.324706,-2.753248,Repulldown on 3.2M snpset,1240K,1,0.925983,592821,321448,F,n/a (no relatives detected),n/a (female),n/a (female),227,U5b1+16189+@16192,"[0.974,0.987]",0.09,0.014,ds.half,S6746.L1,PASS,..
I6747,I6747,SB 381B3,..,2019,BraceDiekmannNatureEcologyEvolution2019,Direct: IntCal20,5528,42,"3645-3526 calBCE (4808±35 BP, UB-29004)",..,England_N,"England, Derbyshire, Brassington, Carsington Pasture Cave",United Kingdom,53.079803,-1.640942,Repulldown on 3.2M snpset,1240K,1,3.742309,820702,446777,M,n/a (no relatives detected),I-Y3709,I2a1b1a1a1,293,J1c1b,"[0.983,0.992]",0.073,0.42,ds.half,S6747.L1,PASS,..
I6753,I6753,SB 451B3,..,2019,BraceDiekmannNatureEcologyEvolution2019,Context: Archaeological - Period,5305,217,3730-2980 BCE,..,England_N,"England, Kent, Trottiscliffe, Coldrum",United Kingdom,51.321578,0.372682,Repulldown on 3.2M snpset,1240K,1,1.831762,735301,398924,M,n/a (no relatives detected),I-Y3709,I2a1b1a1a1,280,K1a2b,"[0.990,0.996]",0.061,0.427,ds.half,S6753.L1,PASS,..
I6755,I6755,SB 467A3,..,2019,BraceDiekmannNatureEcologyEvolution2019,Direct: IntCal20,5528,40,"3644-3527 calBCE (4808±32 BP, OxA-13539)",..,England_N,"England, North Yorkshire, Ha Cave, Giggleswick Scar",United Kingdom,54.074439,-2.287284,Repulldown on 3.2M snpset,1240K,1,0.507274,411539,222983,M,n/a (no relatives detected),I-Y3712,I2a1b1a1a1b,251,K,"[0.860,0.883]",0.052,0.436,ds.half,S6755.L1,QUESTIONABLE,"mtcontam=[0.86,0.883],  Xcontam=[0.002,0.033]"
I6757,I6757,SB 470A3,..,2019,BraceDiekmannNatureEcologyEvolution2019,Direct: IntCal20,5493,73,"3642-3378 calBCE (4766±48 BP, UBA-32285)",..,England_N,"England, North Yorkshire, Attermire Scar, Jubilee Cave",United Kingdom,54.081683,-2.27362,Repulldown on 3.2M snpset,1240K,1,3.280994,800482,435504,M,n/a (no relatives detected),I-Y3712,I2a1b1a1a1b,614,J1c9,"[0.993,0.999]",0.075,0.423,ds.half,S6757.L1,PASS,..
I6760,I6760,SB 488B3,..,2019,BraceDiekmannNatureEcologyEvolution2019,Direct: IntCal20,5781,74,"3946-3710 calBCE (5023±34 BP, OxA-17173)",..,England_N,"England, Gloucestershire, Hampnett, Burn Ground",United Kingdom,51.843407,-1.850443,Repulldown on 3.2M snpset,1240K,1,0.74625,526141,285944,M,n/a (no relatives detected),I-L1195,I2a1b1a1a1,169,U5b2a,"[0.987,0.996]",0.088,0.431,ds.half,S6760.L1,PASS,..
I3039,I3039,SB 493A2,petrous,2019,BraceDiekmannNatureEcologyEvolution2019,Context: Archaeological - Period,5525,43,3650-3500 BCE,..,England_N_1d.rel.I6761,"England, Sussex, Brighton, Whitehawk",United Kingdom,50.828981,-0.112825,Repulldown on 3.2M snpset,1240K,1,0.116,129185,69804,M,"United Kingdom, England, Sussex, Brighton, Whitehawk Family A (2 members) (I6761 and I3039 are 1st degree relatives)",I-Y3259,I2a1b1,32.5,R,"[0.944,0.960]",0.024,0.433,ds.plus,S3039.L1,PASS,"batch.flag, mtcontam=[0.944,0.96]"
I3039_noUDG.SG,I3039,SB 493A2,petrous,2019,BraceDiekmannNatureEcologyEvolution2019,Context: Archaeological - Period,5525,43,3650-3500 BCE,..,England_N_1d.rel.I6761_noUDG.SG,"England, Sussex, Brighton, Whitehawk",United Kingdom,50.828981,-0.112825,1240K pulldown padded to 3.2M snpset,Shotgun,2,0.111451,131699,71276,M,"United Kingdom, England, Sussex, Brighton, Whitehawk Family A (2 members) (I6761 and I3039 are 1st degree relatives)",..,I2a2a,..,M / V / B4,..,..,..,"ds.minus,ds.plus","SB493A_lib,SB493A2_lib",PASS,..
I3040_noUDG.SG,I3040,SB 495A2,petrous,2019,BraceDiekmannNatureEcologyEvolution2019,Context: Archaeological - Period,5525,43,3650-3500 BCE,..,England_N_noUDG.SG,"England, Sussex, Brighton, Whitehawk",United Kingdom,50.828981,-0.112825,1240K pulldown padded to 3.2M snpset,Shotgun,2,0.156187,178382,96601,M,n/a (no relatives detected),..,I2a2a,..,K1a11,..,..,..,"ds.minus,ds.plus","SB495A_lib,SB495A2_lib",PASS,..
I5387_noUDG.SG,I5387,SB 543A3,petrous,2019,BraceDiekmannNatureEcologyEvolution2019,Context: Archaeological - Period,4850,231,3300-2500 BCE,..,England_N_noUDG.SG,"England, Wiltshire, Avebury, West Kennet",United Kingdom,51.243083,-1.51039,1240K pulldown padded to 3.2M snpset (bam limited to 1240k sites),Shotgun,3,0.39414,381493,206100,M,n/a (no relatives detected),..,I2a2a1,..,U5a,..,..,..,"ds.minus,ds.plus,ds.half","SB543A_lib,SB543A2_lib,SB543A3_lib",PASS,..
I6746_noUDG.SG,I6746,SB 350C3,..,2019,BraceDiekmannNatureEcologyEvolution2019,Direct: IntCal20,5526,54,"3697-3384 calBCE (4809±45 BP, UBA-30800)",..,England_N_noUDG.SG,"England, Somerset, Burrington Combe, Aveline's Hole",United Kingdom,51.324706,-2.753248,1240K pulldown padded to 3.2M snpset (bam limited to 1240k sites),Shotgun,3,1.611393,908314,481296,F,n/a (no relatives detected),n/a (female),n/a (female),..,U5b1,..,..,..,"ds.plus,ds.minus,ds.half","SB350C_lib,SB350C2_lib,SB350C3_lib",PASS,..
I6747_noUDG.SG,I6747,SB 381B3,..,2019,BraceDiekmannNatureEcologyEvolution2019,Direct: IntCal20,5528,42,"3645-3526 calBCE (4808±35 BP, UB-29004)",..,England_N_noUDG.SG,"England, Derbyshire, Brassington, Carsington Pasture Cave",United Kingdom,53.079803,-1.640942,1240K pulldown padded to 3.2M snpset (bam limited to 1240k sites),Shotgun,3,13.201403,1148974,592955,M,n/a (no relatives detected),..,I2a2a1a1a,..,J1c1,..,..,..,"ds.minus,ds.plus,ds.half","SB381B_lib,SB381B2_lib,SB381B3_lib",PASS,..
I6750_noUDG.SG,I6750,SB 416B3 (PA SK 3332),..,2018,OlaldeNature2018,Context: Archaeological - Period,5650,58,3800-3600 BCE,..,England_N_noUDG.SG,"England, Wiltshire, Salisbury, Fussell's Lodge",United Kingdom,51.091224,-1.72751,1240K pulldown padded to 3.2M snpset (bam limited to 1240k sites),Shotgun,3,0.506412,462608,249476,M,"United Kingdom, England, Wiltshire, Salisbury, Fussell's Lodge Family A (2 members) (I6750 and I6751 are 2nd or 3rd degree relatives)",..,..,..,..,..,..,..,"ds.plus,ds.minus,ds.half","SB416B_lib,SB416B2_lib,SB416B3_lib",PASS,..
I6751_noUDG.SG,I6751,SB 422B3 (PA SK 3324),..,2018,OlaldeNature2018,Context: Archaeological - Period,5650,58,3800-3600 BCE,..,England_N_noUDG.SG,"England, Wiltshire, Salisbury, Fussell's Lodge",United Kingdom,51.091224,-1.72751,1240K pulldown padded to 3.2M snpset (bam limited to 1240k sites),Shotgun,3,2.371679,953452,504590,F,"United Kingdom, England, Wiltshire, Salisbury, Fussell's Lodge Family A (2 members) (I6750 and I6751 are 2nd or 3rd degree relatives)",n/a (female),n/a (female),..,..,..,..,..,"ds.minus,ds.plus,ds.half","SB422B_lib,SB422B2_lib,SB422B3_lib",PASS,..
I6753_noUDG.SG,I6753,SB 451B3,..,2019,BraceDiekmannNatureEcologyEvolution2019,Context: Archaeological - Period,5305,217,3730-2980 BCE,..,England_N_noUDG.SG,"England, Kent, Trottiscliffe, Coldrum",United Kingdom,51.321578,0.372682,1240K pulldown padded to 3.2M snpset (bam limited to 1240k sites),Shotgun,3,2.199212,917499,488574,M,n/a (no relatives detected),..,I2a2a1a1a,..,K1,..,..,..,"ds.plus,ds.minus,ds.half","SB451B_lib,SB451B2_lib,SB451B3_lib",PASS,..
I6755_noUDG.SG,I6755,SB 467A3,..,2019,BraceDiekmannNatureEcologyEvolution2019,Direct: IntCal20,5528,40,"3644-3527 calBCE (4808±32 BP, OxA-13539)",..,England_N_noUDG.SG,"England, North Yorkshire, Ha Cave, Giggleswick Scar",United Kingdom,54.074439,-2.287284,1240K pulldown padded to 3.2M snpset (bam limited to 1240k sites),Shotgun,3,0.558555,496229,268490,M,n/a (no relatives detected),..,I2a2a1,..,K1a2,..,..,..,"ds.plus,ds.minus,ds.half","SB467A_lib,SB467A2_lib,SB467A3_lib",PASS,..
I6760_noUDG.SG,I6760,SB 488B3,..,2019,BraceDiekmannNatureEcologyEvolution2019,Direct: IntCal20,5781,74,"3946-3710 calBCE (5023±34 BP, OxA-17173)",..,England_N_noUDG.SG,"England, Gloucestershire, Hampnett, Burn Ground",United Kingdom,51.843407,-1.850443,1240K pulldown padded to 3.2M snpset (bam limited to 1240k sites),Shotgun,3,1.059038,740041,398388,M,n/a (no relatives detected),..,I2a2a1a1a2,..,U5b2,..,..,..,"ds.plus,ds.minus,ds.half","SB488B_lib,SB488B2_lib,SB488B3_lib",PASS,..
I6762_noUDG.SG,I6762,SB 511A3 (PA SK 1855),..,2018,BraceDiekmannNatureEcologyEvolution2019,Context: Archaeological - Period,5700,144,4000-3500 BCE,..,England_N_noUDG.SG,"England, Gloucestershire, Chipping Norton, Upper Swell",United Kingdom,51.56105,-1.445923,1240K pulldown padded to 3.2M snpset (bam limited to 1240k sites),Shotgun,3,0.926874,621716,335622,M,n/a (no relatives detected),..,..,..,..,..,..,..,"ds.minus,ds.plus,ds.half","SB511A_lib,SB511A2_lib,SB511A3_lib",PASS,..
I12439,I12439,576 (5907) | 1109 (8825),petrous (CBD),2021,FowlerOlaldeNature2021,"Context: Date(s) from same site (I13893, I21389, I13898, I13892)",5600,173,3950-3350 BCE,adult,England_N_Megalithic,"England, Gloucestershire, Cheltenham, Hazleton North",United Kingdom,51.861211,-1.883011,Repulldown on 3.2M snpset,1240K,2,6.668084,888097,488593,M,"United Kingdom, England, Gloucestershire, Cheltenham, Hazleton North Family A (27 Members) (I30300 is the father of I21388,I12437,I12440,I30299,I12438; I21387, I13890 have a 3d relationship;I30300 have a 2d relationship with I13891,I30311,I21389,I13888,I21393,I30304,I30332;I30300 have a 3d relationship with I12439, I21395 and I13896;I30300 have a 4d relationship with I13890;I30334 is the mother of I13898 and I12437; I30334 have a 2d relationship with I21392,I21389,I13888,I21393,I30304;I21392 has a 3d relationship with I13898 and I12437; I30299 is the brother of I12440; I30302 is the mother of I12440 and I30299;I30302 has a 2d relationship with I13891 and I30311;I30311 and I13891 are brothers;I30304 is the brother of I21393 and I13888; I12440 and I30299;I21393, I13898 have a 3d or more distant relationship; I13898, I21393 have a 3d relationship; I21388, I21395 have a 3d or more distant relationship; I21393, I12440 have a 3d relationship; I21388, I13888 have a 3d relationship; I21395, I13888 have a 3d or more distant relationship; I21388, I13895 have a 2d relationship; I21388, I12438/I21397 have a 2d relationship; I21389, I12438 have a 3d relationship; I21395, I13896 are siblings; I21395, I13890 have a 3d or more distant relationship; I21389, I13891 have a 3d or more distant relationship; I21393, I12439 have a 2d relationship; I13895-I21390 are son-mother; I21389, I13888 have a 2d relationship; I13898, I21389 have a 3d relationship; I21388, I20821 have a 3d or more distant relationship; I21395, I12437 have a 3d or more distant relationship; I21389-I12437 are son-father; I21393-I12437 are son-father; I21393, I13891 have a 3d or more distant relationship; I21389, I21393 have a 2d relationship; I30304, I21393 have a 2d relationship; I21385, I13890 have a 3d or more distant relationship; I21395, I12440 have a 3d or more distant relationship; I21395, I12438 have a 2d relationship; I21388, I12440 have a 2d relationship; I21385-I21387 are son-mother; I21388, I12437 have a 2d relationship; I21389, I12439 have a 3d or more distant relationship; I21385, I13896 have a 3d relationship; I21389, I12440 have a 3d relationship; I21395, I13891 have a 3d or more distant relationship; I21389, I21395 have a 3d or more distant relationship; I21393, I21395 have a 3d or more distant relationship; I21388-I21390 are son-mother; I13898, I12437 have a 2d relationship; I21387, I13896 have a 2d relationship; I21390, I20821 have a 2d relationship; I21393, I12438 have a 3d relationship; I13898, I13888 have a 3d relationship; I21388, I21393 have a 3d relationship; I21388, I21389 have a 3d relationship; I21387, I21395 have a 2d relationship; I21385, I21395 have a 3d relationship; I21393, I13888 are siblings; I30332 is the son of SC3m and SC4f;I30332 is the father of I21395 and I13896)",I-Y3709,I2a1b1a1a1,1169.617539,K1b1a,"[0.988,0.998]",0.077,0.39595785,"ds.half,ds.half","S12439.Y1.E1.L1,S13894.Y1.E2.L1",PASS_PUBLISHED,..
